parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
log10beta_pop,-7.24424127301898,,0.105302473143783,1.45360251232906,-7.45063,-7.03785
log10pi_pop,3.43131785993112,,0.042498326473384,1.23854239706715,3.34802,3.51461
log10phi_pop,-6.93215736649642,,0.0159137024636769,0.229563491166384,-6.96335,-6.90097
log10rho_pop,-1.11586783536729,,0.0495352036531551,4.43916403745523,-1.21296,-1.01878
delta_pop,1.82731061781855,,0.0371266704434103,2.03176570427486,1.756,1.90152
tau_pop,0.929853211303098,,0.210547393929152,22.6430786461543,0.60278,1.42139
IC50_pop,4.35151446492909,,0.541086778422051,12.4344474270493,3.41973,5.53719
omega_log10beta,0.424598869600767,-5.86119171903035,0.0703836527154551,16.5765049684739,0.30878,0.58386
omega_log10pi,0.293201955972927,8.54487890488854,0.0323631152681969,11.0378237965047,0.236621,0.363313
omega_log10phi,0.061220630131913,-0.883139647518627,0.017928954244319,29.2858048107104,0.0356071,0.105259
omega_log10rho,0.345248981274348,-30.9399527732339,0.0519721680688513,15.0535326352063,0.258278,0.461506
omega_delta,0.18812209620062,18.9798839730678,0.0142341127830188,7.56642258963511,0.162296,0.218058
omega_tau,1.18616078736519,114.498807844636,0.119962509450576,10.1135116527538,0.974328,1.44405
omega_IC50,0.809380163275201,96.1939612847329,0.12140067005429,14.9992149008243,0.606106,1.08083
a,1.16732287950921,,0.0154292818312204,1.32176641973363,1.13747,1.19795
